ABN,Charity_Legal_Name,State,Postcode,Charity_Size,Operates_in_VIC,PBI,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
11903774638,SHREE JALARAM MANDAL VICTORIA (INC),VIC,3977,Small,Y,,,,,,,,,,,Y,,,,Y,Y,,,,Y,Y,Y,,,,Y,Y,,,,,,,,,,,,Y
11906487695,Seymour Baptist Fellowship,VIC,3661,Small,Y,,,,,,,,,,,Y,,,,Y,Y,,,,,Y,Y,Y,,,Y,,,,Y,,Y,Y,Y,Y,,Y,,
11916913870,Uca - Camperdown,VIC,3260,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11928572940,Sunbury Neighbourhood House Inc,VIC,3429,Small,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11952202762,Pigeons Projects Ltd,VIC,3011,Medium,Y,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,Y
11952841906,Mount Evelyn Presbyterian Church,VIC,3796,Small,Y,,,,,,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,Y,Y,Y,Y,,Y,,,,,
11955310905,Prom Coast Community Church Inc,VIC,3960,Small,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11956700908,Goulburn Murray Lutheran Parish,VIC,3632,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11960744671,Gethsemane Charity Incorporated,VIC,3977,,Y,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,,,Y,,Y,Y,Y
11972379554,Talbot Action Incorporated,VIC,3163,Small,Y,,,,,,,,,Y,,,,,,Y,Y,Y,,Y,,Y,Y,Y,,,Y,,,,,,,,,,,,,Y
11973523604,Jesuit College of Spirituality,VIC,3052,Medium,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,Y,,,,,,,,,,,
11975769831,Anti-Violence Project Of Victoria Inc,VIC,8009,Small,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,
11990478275,The Ice Meltdown Project Inc,VIC,3818,Small,Y,Y,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,Y,,,,,Y,,,,,Y,,,,
11990678761,St Brendan's School Coragulac,VIC,3249,Large,Y,,,,Y,,,,,,,Y,,,Y,,,Y,,,,,,,,,,,,,,,Y,,,,,,,Y
11993233253,Follow Baptist Church,VIC,3809,Medium,Y,,,,,,,,,,,Y,,,,Y,Y,,,,,Y,Y,Y,,,Y,,,,Y,,,,,Y,,Y,Y,Y
12004131159,The Camberwell Grammar School,VIC,3126,Large,Y,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,Y,,,,,,,,,,,,,Y
12004248631,Preshil The Margaret Lyttle Memorial School.,VIC,3101,Large,Y,,,,Y,,,,,,,,,,Y,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,Y
12004251423,The Walter And Eliza Hall Institute Of Medical Research,VIC,3052,Large,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,
12004277418,Victorian Welfare Association,VIC,3146,Large,Y,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
12004508641,International Social Service Australia,VIC,3003,Large,,Y,,,,,,,Y,Y,,,Y,,,Y,,Y,,Y,Y,Y,Y,Y,,,Y,Y,,,Y,,,,Y,,,Y,,Y
12005401623,Australian Lithuanian Foundation,VIC,3051,Small,Y,,,Y,,,,,,,,,,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,,,,,,,,,,,,,Y
12005621581,Castlemaine & Maldon Railway Preservation Society,VIC,3450,Medium,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,Y,,,Y,,,,,,,
12006391902,Filmfest Limited,VIC,3001,Large,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
12006421861,St Michael's Grammar School,VIC,3182,Large,Y,,,,Y,,,,,,,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,,,,,,,,Y
12006692039,Australian And New Zealand Cultural Arts Limited,VIC,3131,Medium,Y,,,Y,,,,,,,,,,,,Y,,Y,Y,,,,,,,Y,,,,Y,,,,,,,,,,Y
12020693893,The Trustee For The Mona Georgina Harris Perpetual Charitable Trust,VIC,3103,Small,Y,,,,,,,,,,,,,,Y,Y,,,,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,,Y,Y,,,,Y
12020797087,Waverley Community Learning Centre Inc,VIC,3149,Medium,Y,,,,,,,,,Y,,,,,,Y,Y,Y,,,Y,Y,Y,,,Y,Y,Y,,,,,Y,,,Y,,,,
12023039691,The Potters House Christian Fellowship Geelong,VIC,3215,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
